page,country,rev_id,article_quality
List of politicians in Poland,Poland,516633096,NOT_FOUND
Tingtingru,Vanuatu,550682925,NOT_FOUND
Daud Arsala,Afghanistan,627547024,NOT_FOUND
Bharat Saud,Nepal,671484594,NOT_FOUND
Robert Sych,Poland,684023803,NOT_FOUND
Marek Krzysztof Jeleniewski,Poland,684023859,NOT_FOUND
Narayani Datt Chataut,Nepal,698572327,NOT_FOUND
Mohammad Amjad,Pakistan,699260156,NOT_FOUND
Gomez das Mariñas,Spain,703773782,NOT_FOUND
Kamlesh Arya,Fiji,706810694,NOT_FOUND
Khaled Aghbariyya,Israel,709508670,NOT_FOUND
Panu Laturi,Finland,711288191,NOT_FOUND
Łukasz Kowalski,Poland,712872338,NOT_FOUND
Blanka Olszewska,Poland,712872421,NOT_FOUND
Janusz Jerzy Drozdalski,Poland,712872473,NOT_FOUND
Piotr Michał Trzaska,Poland,712872531,NOT_FOUND
Anna Teresa Piórkowska,Poland,712873183,NOT_FOUND
Edward Ignacy Hartwich,Poland,712873308,NOT_FOUND
Lech Andrzej Zagłoba-Zygler,Poland,712873386,NOT_FOUND
Elżbieta Teresa Rusielewicz,Poland,712878000,NOT_FOUND
Adam Wojciech Fórmaniak,Poland,712878267,NOT_FOUND
Zbigniew Józef Sobociński,Poland,712878343,NOT_FOUND
Bernadeta Aldona Różańska-Majchrzak,Poland,712878396,NOT_FOUND
Jarosław Wenderlich,Poland,712881543,NOT_FOUND
Ewa Joanna Starosta,Poland,712881676,NOT_FOUND
Stanisław Grodzicki (politician),Poland,712881741,NOT_FOUND
Tadeusz Mirosław Kondrusiewicz,Poland,712881882,NOT_FOUND
Wojciech Hieronim Nowacki,Poland,712889562,NOT_FOUND
Jacek Rosół,Poland,712889594,NOT_FOUND
Tomasz Jan Rega,Poland,712889683,NOT_FOUND
Marek Henryk Gralik,Poland,712889781,NOT_FOUND
Michał Piotr Sztybel,Poland,712889809,NOT_FOUND
Jacek Andrzej Bukowski,Poland,712891291,NOT_FOUND
Kazimierz Drozd,Poland,712891354,NOT_FOUND
Lech Stanisław Lewandowski,Poland,712891378,NOT_FOUND
Felicja Gwincińska,Poland,712891476,NOT_FOUND
Shah Seyyed Ali Kazemi,Iran,713368646,NOT_FOUND
Fawzi al-Ghazzi,Syria,714352602,NOT_FOUND
Armin Halitović,Bosnia-Herzegovina,715273866,NOT_FOUND
Gissur Petersson,Iceland,715534283,NOT_FOUND
Bakhtiar Mahmud Kasuri,Pakistan,717927381,NOT_FOUND
Friedrich Peus,Germany,719521006,NOT_FOUND
Talib Garingan Pawaki,Philippines,719581803,NOT_FOUND
Christian Raster,Germany,720054719,NOT_FOUND
Kimball–Snow–Woolley family,United States,720356159,NOT_FOUND
Malak Zmarak Khan Mandokhail,Pakistan,720688837,NOT_FOUND
Max Adolf Richter,Germany,721509220,NOT_FOUND
David J. Reimer,Canada,724052271,NOT_FOUND
Eistein Rajaonary,Madagascar,726600165,NOT_FOUND
Mahesh Kumar Malani,Pakistan,730950147,NOT_FOUND
Patrick Nwakamma Ottih,Cameroon,734957625,NOT_FOUND
Liam Mac an Ultaigh,Ireland,736660951,NOT_FOUND
Alois Buttinger,Austria,737123608,NOT_FOUND
Marcel Hatch,Canada,738514517,NOT_FOUND
Rajabboy Norkallayev,Tajikistan,738984692,NOT_FOUND
Bia Venâncio,Brazil,747688056,NOT_FOUND
Pat Bridson,Ireland,747922835,NOT_FOUND
Wanmelbu,Vanuatu,749326717,NOT_FOUND
Diyar Khan Yaqubi,Pakistan,754739349,NOT_FOUND
Arthur Gregorian,Armenia,756697478,NOT_FOUND
Marcelo Cerqueira,Brazil,757313957,NOT_FOUND
Ahmad Balal,Pakistan,757961591,NOT_FOUND
Saleh Al Shal,United Arab Emirates,760194556,NOT_FOUND
Josef Siegele,Austria,760195376,NOT_FOUND
Elisha Shapiro,United States,763558111,NOT_FOUND
Lennox Farrell,Canada,764019224,NOT_FOUND
Obuobia Darko-Opoku,Ghana,764911200,NOT_FOUND
Zeev Schwartz,Israel,765662083,NOT_FOUND
Giammarco Montanari,Italy,766101638,NOT_FOUND
Muhammad Abdul Haque,Bangladesh,768013050,NOT_FOUND
Rajat Majumdar,India,768871687,NOT_FOUND
Sheikh Zakaria Ansari,Iran,771213598,NOT_FOUND
Muhammad Yar Khan Mandokhail,Pakistan,771642775,NOT_FOUND
Hari Bahadur Rai,Nepal,773355081,NOT_FOUND
Khaled Negm,Egypt,774023957,NOT_FOUND
Phil Hobson,United Kingdom,774293013,NOT_FOUND
John Palino,New Zealand,777163201,NOT_FOUND
Jacek Maciej Wenderlich,Poland,779101752,NOT_FOUND
Mohamad Hamim Aliyas,Singapore,779135011,NOT_FOUND
Chaudhry Zafar Iqbal Warraich,Pakistan,779954797,NOT_FOUND
Rana Assad Amin,Pakistan,779957437,NOT_FOUND
Batul Soltani,Iran,782170063,NOT_FOUND
Rose Sales,Brazil,783382630,NOT_FOUND
Mariano Lazcano,Spain,786721553,NOT_FOUND
Mian Fareed Abbas Kathia,Pakistan,787181453,NOT_FOUND
Abdolmajid Pirzadeh Jahromi,Iran,787391918,NOT_FOUND
Abdul Latif Khalid Cheema,Pakistan,787398581,NOT_FOUND
Mahesh Kumar,Pakistan,788310383,NOT_FOUND
Vithal Chavan,India,788722110,NOT_FOUND
Jaybahadur Hitan Magar,Nepal,788844423,NOT_FOUND
Fernando Linera,Spain,789080627,NOT_FOUND
Harald Haas (Pirate Party),Austria,789271422,NOT_FOUND
Zhang Yuhuan,China,789281061,NOT_FOUND
Hameeda Waheeduddin,Pakistan,789285762,NOT_FOUND
Zheng Shekui,China,789286413,NOT_FOUND
Farouk Sharif,Philippines,790028876,NOT_FOUND
Idoia Zenarrutzabeitia Beldarrain,Spain,790147995,NOT_FOUND
Claybourn – Claiborne – Clayborn family,United States,791866288,NOT_FOUND
Marko Selakovic,Serbia,792400552,NOT_FOUND
Caleb Crosby,United States,792857662,NOT_FOUND
Draft:John Johansson i Gränö,Sweden,792933603,NOT_FOUND
Tibor Gaal de Hatvan,Hungary,793280504,NOT_FOUND
Chukwuemeka Ihedioha,Nigeria,794311724,NOT_FOUND
List of Ghana heads of state by age,Ghana,794866848,NOT_FOUND
Alfred Moungara Moussotsi,Gabon,794990759,NOT_FOUND
Fraz Wahlah,Pakistan,795588781,NOT_FOUND
Dan Hilton,Canada,797311794,NOT_FOUND
Maria Hadjipavlou,Cyprus,798891126,NOT_FOUND
V. Sadasivan,India,799263010,NOT_FOUND
Mohd Eekmal Ahmad,Malaysia,799540668,NOT_FOUND
Raja Muhammad Akbar Khan,Pakistan,799880073,NOT_FOUND
Rich Eychaner,United States,799933274,NOT_FOUND
Craig Huey,United States,800144885,NOT_FOUND
Donald Jeffrey Large,United States,800299837,NOT_FOUND
Dragan Klaric,Sweden,800471126,NOT_FOUND
Bashir Ahmed Sarki,Pakistan,800574730,NOT_FOUND
Anwara Ali,United Kingdom,801306872,NOT_FOUND
Rashid bin Humaid Al Nuaimi (Ajman),United Arab Emirates,801638735,NOT_FOUND
Ouyang Xiu,China,801835819,NOT_FOUND
Ali Asghar Khan (politician),Pakistan,802148439,NOT_FOUND
Ananda Syahendar Perdana,Indonesia,802475516,NOT_FOUND
Ezatullah Mujahid,Afghanistan,802515929,NOT_FOUND
Maciej Filip Zegarski,Poland,802765034,NOT_FOUND
Bernard Binlin Dadié,Ivorian,802904214,NOT_FOUND
Than Htay,Myanmar,802937732,NOT_FOUND
Anatoliy Peshko,Ukraine,803413615,NOT_FOUND
Kevin Hardwick,United States,803484030,NOT_FOUND
David Sparrow,Canada,803784385,NOT_FOUND
Iftikhar Ahmed (Swiss lawmaker),Switzerland,804057093,NOT_FOUND
João Victor Guedes,Brazil,804118645,NOT_FOUND
Kampa Borgoyary,India,804158476,NOT_FOUND
Lucia Lucchesi-Ghiselli,Italy,804473605,NOT_FOUND
Lib Peck,United Kingdom,804697858,NOT_FOUND
Dudley–Winthrop family,United States,804791599,NOT_FOUND
William M. Rainach,United States,804945338,NOT_FOUND
David J. Dwork,United States,804946658,NOT_FOUND
Lav Grigorije Pajkić,Serbia,805041930,NOT_FOUND
Richards–Young family,United States,805211553,NOT_FOUND
Ian Axton,United Kingdom,805420467,NOT_FOUND
Political positions of Pat Buchanan,United States,805788048,NOT_FOUND
Hossein Khan Movaghar,Iran,805936041,NOT_FOUND
Valeriy Panasenko,Moldova,805993160,NOT_FOUND
Edivaldo Holanda Júnior,Brazil,806030859,NOT_FOUND
Rajah Alon,Philippines,806179522,NOT_FOUND
Golam Mohammad Rabbani,Bangladesh,806223655,NOT_FOUND
Mohammed Naguib,Egypt,806372496,NOT_FOUND
Rajah Gambang,Philippines,806695084,NOT_FOUND
Olajide Awosedo,Nigeria,806811023,NOT_FOUND
Dirtbag Left,United States,807161510,NOT_FOUND
Guy Georgias,Zimbabwe,807196681,NOT_FOUND
John Rose (Trotskyist),United Kingdom,807336308,NOT_FOUND
Jalal Movaghar,Iran,807367030,NOT_FOUND
Mohsen Movaghar,Iran,807367166,NOT_FOUND
King Gutierrez,Philippines,807479587,NOT_FOUND
Ajay Kannoujiya,India,807484325,NOT_FOUND
